20;26909
20;28872
20;27045
20;28640
20;26333
20;27414
20;26644
20;27950
20;27822
20;29266
20;26671
20;27409
20;27414
20;26880
20;26129
20;26822
20;27180
20;26962
20;27624
20;27119
20;28081
20;28393
20;27471
20;27068
20;26679
20;27367
20;28204
20;27663
20;26666
20;28883
50;30402
50;29717
50;30204
50;30868
50;29960
50;30371
50;30138
50;28654
50;29312
50;29616
50;30529
50;29487
50;28702
50;29747
50;29124
50;31219
50;31106
50;28730
50;31695
50;28480
50;29334
50;30665
50;29102
50;29806
50;29519
50;30121
50;30630
50;29338
50;30347
50;29250
100;33909
100;34337
100;34716
100;35006
100;35048
100;35424
100;34822
100;34567
100;33839
100;34688
100;35708
100;33202
100;32603
100;36542
100;33862
100;33674
100;34557
100;33976
100;34587
100;35391
100;34825
100;36134
100;35397
100;33609
100;33190
100;31947
100;34927
100;34357
100;36840
100;34226
200;41499
200;41807
200;41740
200;41724
200;40763
200;41617
200;40883
200;40060
200;41206
200;40781
200;40625
200;41935
200;41380
200;41148
200;40448
200;41075
200;40537
200;40715
200;41450
200;41783
200;41066
200;41112
200;41593
200;39790
200;39719
200;41855
200;41261
200;41689
200;42322
200;41274
300;42513
300;42255
300;41286
300;42406
300;42481
300;41760
300;41890
300;41533
300;41801
300;41752
300;42156
300;42361
300;42417
300;41780
300;41191
300;41574
300;41663
300;41311
300;41020
300;40876
300;41456
300;41305
300;41460
300;40796
300;41175
300;41855
300;42648
300;42216
300;42121
300;41374
400;41521
400;41014
400;41644
400;41129
400;41431
400;41375
400;41047
400;41951
400;41992
400;41184
400;41259
400;41822
400;41424
400;42291
400;41558
400;42359
400;41753
400;40538
400;41791
400;41063
400;40681
400;42590
400;41268
400;42307
400;41117
400;41710
400;41815
400;41314
400;41748
400;41562
500;41645
500;40673
500;41997
500;40812
500;42594
500;40867
500;41891
500;42514
500;41529
500;42229
500;41174
500;42186
500;40935
500;41518
500;40635
500;41482
500;41249
500;41354
500;39960
500;42378
500;40868
500;41534
500;41660
500;41587
500;41310
500;42706
500;40956
500;40876
500;41388
500;41485
600;40549
600;41786
600;40136
600;41303
600;41912
600;42443
600;41061
600;40672
600;42085
600;40742
600;41868
